enforcement_zone,latitude,longitude,violation_count,frequency_score,avg_congestion_score,max_congestion_score,priority_score,risk_level,enforcement_demand_score,demand_percentage,cumulative_demand,allocation_weight,recommended_officers
BTP051 - Safina Plaza Junction,12.981212065557246,77.60869513989651,15449,100.0,26.205244352385268,55.42,68.94557330571558,Critical,69.71383552333485,0.0005260135859716291,0.0005260135859716291,0.0017545084367235762,2
BTP082 - KR Market Junction,12.964423750642322,77.57724121294086,11538,96.97392039753171,23.06457271624198,64.2,68.24633201363845,Critical,67.82825666932713,0.000511786279624428,0.001037799865596057,0.0017070535236115762,2
BTP040 - Elite Junction,12.976596713370032,77.5766021547117,10718,96.20967000381438,21.41802388505318,67.34,67.99824216742314,Critical,67.14562686186652,0.0005066356154812495,0.0015444354810773063,0.0016898735800988174,2
BTP044 - Sagar Theatre Junction,12.974938996857006,77.57889570478889,10549,96.04490683549706,21.7410958384681,40.35,62.61478216928896,Critical,64.46908230298722,0.00048644021537365254,0.0020308756964509587,0.0016225122023383234,2
"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.933819366718264,77.69089953928616,3785,85.41994983918319,19.144642007926024,91.71,66.79536752196941,Critical,62.852597114324865,0.0004742433083411354,0.002505119004792094,0.0015818296480066588,2
"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",13.185700367188263,77.68003697254278,4090,86.22323091693474,21.624004889975552,67.28,63.05481692546004,Critical,61.719178715805555,0.0004656912975137896,0.0029708103023058834,0.0015533045765109982,2
"BTP001 - 10th Cross, Dr. Rajkumar Road",13.007811443262298,77.55465340067576,2812,82.34014367961969,14.938801564722619,100.0,65.65171230922662,Critical,60.51565957144374,0.0004566103537361465,0.0034274206560420298,0.0015230152590937354,2
BTP058 - Subbanna Junction,12.979021616597574,77.57866101486218,5189,88.69015960169726,19.97559838119098,46.04,59.54575931520592,Critical,60.37504721435034,0.00045554938772227873,0.0038829700437643085,0.0015194764268809332,2
BTP211 - Central Street Junction,12.983371022821446,77.60345435130863,5388,89.08025520277796,18.315766518188564,46.23,59.280857556845554,Critical,60.02765864289388,0.000452928227850273,0.004335898271614582,0.0015107335973569762,2
"BTP083 - AS Char Street, Mysore Road",12.966450044406306,77.57440287238298,2778,82.21406882758288,18.855446364290856,60.43,58.849668323078696,Critical,57.860144082672385,0.000436573624809013,0.0047724718964235946,0.0014561831260756063,1
"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",13.008264684164457,77.69511907074143,3027,83.10373128410696,20.433462173769406,49.72,57.6259042941843,Critical,57.83076396707812,0.0004363519422714796,0.005208823838695074,0.0014554437081351777,1
BTP057 - Anand Rao Junction,12.979395373087675,77.57438830726811,3935,85.82278507967351,17.021392630241426,46.66,57.34981032890918,Critical,57.82601921440493,0.00043631614156779667,0.00564513998026287,0.0014553242955604314,1
BTP027 - Modi Bridge Junction,12.998897494610551,77.54941567682627,4584,87.40515275445478,14.617805410122164,45.49,57.18591800026404,Critical,57.738065908492885,0.0004356525052394617,0.006080792485502332,0.001453110749051306,1
"BTP080 - NR Road, SP Road Junction",12.96439657572473,77.58316820553203,3681,85.13116893717739,14.833607715294757,52.08,57.43166678317712,Critical,57.22190561580073,0.0004317579077832037,0.006512550393285535,0.0014401203923820483,1
BTP045 - Danvanthri Road Junction,12.977065128575921,77.57478964140208,3181,83.61804668877542,15.628553913863565,51.62,56.82158951854678,Critical,56.62191954867873,0.0004272308175674571,0.006939781210852992,0.0014250203679926315,1
Unknown,12.97109335449795,77.62580111563655,1709,77.17954896879844,16.865406670567584,79.22,59.4933964855695,Critical,56.2736442675378,0.0004246029671821932,0.007364384178035185,0.0014162552223873591,1
BTP020 - Hosahalli Metro Station,12.97414419858571,77.54529421309437,4101,86.25107041189138,13.582957815167033,39.4,55.080422550495804,Critical,56.13212396184872,0.0004235351504005675,0.007787919328435753,0.0014126935395673674,1
"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",12.932953374975527,77.69131687080935,2416,80.76711415636578,15.802549668874171,60.81,57.28632197884514,Critical,56.03380517010713,0.00042279330310692544,0.00821071263154268,0.0014102191218523738,1
BTP023 - Mahalaxmi Layout Entrance,13.008974449496067,77.54920543394422,1807,77.7573176235037,13.015760929717764,81.08,58.99938709066718,Critical,55.43004101832825,0.00041823770601240003,0.00862895033755508,0.0013950240133041901,1
BTP032 - Windsor Circle,12.99308791268715,77.58818366254266,2749,82.10530944043242,13.032153510367406,51.23,55.208300773326435,Critical,54.84217392086643,0.0004138020573683497,0.009042752394923428,0.0013802289905597634,1
"Bellary Road, Vinayaka Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",13.035338682167392,77.58902587617636,2639,81.68208027743381,14.15099658961728,44.42,53.97033911560209,Critical,54.31999295895464,0.00040986203200266185,0.00945261442692609,0.001367087109951803,1
BTP048 - Shanthala Junction,12.976960576691845,77.57075523407478,1593,76.45125309432053,18.91434400502197,53.35,54.56992974866686,Critical,54.00320960363399,0.0004074717984506352,0.009860086225376725,0.0013591145308310107,1
"BTP182 - 19th Main Junction, Rajajinagar",12.99900715064247,77.5508516759733,1390,75.0389304132961,12.21531654676259,80.7,57.32406017067683,Critical,53.61677251867976,0.00040455600483114404,0.01026464223020787,0.0013493889559759574,1
"BTP070 - Cholurpalya Junction, Magadi Road",12.973484256997908,77.550805919489,2272,80.13026359216782,13.322482394366197,46.56,53.37387651439377,Critical,53.39051381372047,0.00040284880923848295,0.010667491039446352,0.0013436946371402027,1
"BTP016 - 5th Main Road, RPC Layout",12.965246043934675,77.5378432820211,2474,81.01296587958954,12.564668552950687,40.03,52.28188350567998,Critical,52.95776522730699,0.0003995835802627037,0.011067074619709056,0.0013328035272171445,1
"Outer Ring Road, Venkatappa Colony, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",13.000405703421828,77.67746355983655,948,71.07464889814207,23.201149789029536,54.52,53.401669385779904,Critical,52.66345932013848,0.00039736294637503694,0.011464437566084094,0.0013253966445915012,1
BTP038 - Mysore Bank Junction,12.973430411726868,77.58124380880751,2021,78.91710646458748,13.8513706086096,40.68,51.74996441487662,Critical,52.32038826853647,0.00039477436359600126,0.011859211929680095,0.0013167624753493013,1
BTP104 - Medical College Circle,12.959562748076925,77.57661357181698,1508,75.8831107310225,14.58424403183024,51.15,52.54682857506032,Critical,51.955196313202954,0.0003920188713963406,0.012251230801076436,0.0013075715828694038,1
"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.9397296311519,77.69553849232516,863,70.10178745860249,24.887833140208574,45.62,51.64124367136382,Critical,51.82872470130437,0.0003910646019088137,0.01264229540298525,0.0013043886349162986,1
"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",13.011475166855792,77.554480650591,2115,79.38821768514592,13.549191489361702,33.35,50.428866289381475,Critical,51.740736748106855,0.00039040070415542966,0.01303269610714068,0.0013021742164288322,1
BTP042 - Minsk Square Junction (CTO),12.981175736986302,77.59845689202544,2044,79.03437180123433,11.449412915851273,42.11,51.37400977537254,Critical,51.687199011226824,0.000389996744500224,0.013422692851640904,0.0013008268165858317,1
BTP096 - Gali Anjaneya Temple,12.952594812896978,77.54121609195656,972,71.33358451576143,17.534269547325103,61.25,53.17707312207825,Critical,51.49546582523257,0.00038855005518873367,0.013811242906829637,0.0012960014115582427,1
BTP108 - Tagore Park Junction,12.943901209259396,77.57143116315804,1801,77.72285440691033,12.907395891171571,39.42,50.617645970806635,Critical,51.207158485710735,0.00038637468244693326,0.014197617589276571,0.0012887454966345679,1
"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",12.996252154626976,77.66863077915998,710,68.0811241296088,23.941957746478874,51.13,51.44914938874806,Critical,50.937303482552444,0.0003843385385905797,0.014581956127867151,0.001281953977043384,1
"BTP226 - 33rd Cross, 11th Main, Jayanagar",12.925926613617886,77.58563274735774,492,64.28486257802068,19.92231707317073,79.88,54.095126410961555,Critical,50.317485393521125,0.0003796618093127549,0.014961617937179907,0.0012663548343728403,1
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",12.993694996696341,77.55379199356938,1208,73.58507820819479,15.249337748344372,44.88,50.343340428600705,Critical,50.29706122642766,0.0003795077023224757,0.015341125639502382,0.0012658408134011128,1
BTP043 - Upparpet Junction,12.971139927984629,77.57557195804274,1786,77.6361918116554,13.286147816349384,29.17,48.63794025073251,High,50.26705723213276,0.0003792813124170279,0.01572040695191941,0.0012650856941234167,1
"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",13.012838193983402,77.55452109294606,482,64.0724027912227,13.378672199170124,97.87,55.62380305536239,Critical,49.70935680488203,0.00037507328112117594,0.016095480233040586,0.0012510498847689276,1
"MBT Road, Tin Factory Junction, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",12.996527860286315,77.66908796081415,409,62.37356084852414,25.732787286063573,61.44,51.19461661008114,Critical,49.455934016810524,0.00037316112367753913,0.016468641356718126,0.0012446719195287187,1
BTP008 - Navarang Theatre,12.998492417815125,77.55309264941177,1190,73.42956017050926,10.668378151260505,51.21,50.157293530632785,Critical,49.24119044672127,0.00037154081352649043,0.016840182170244616,0.0012392674054516296,1
"Old Madras Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",12.995933199593024,77.66802259540928,594,66.23452695562771,22.200824915824914,50.32,49.84151095256133,High,49.23127854613396,0.00037146602500951116,0.01721164819525413,0.0012390179497578802,1
"Unnamed Road, Jagajothi Nagar, Muthugada Halli, Bengaluru, Karnataka. Pin-562157 (India)",13.183552558422175,77.67961973304904,469,63.78953157817311,21.679040511727077,63.97,51.19247794260468,Critical,49.068906547099694,0.000370240875412846,0.017581889070666976,0.0012349314862882589,1
BTP135 - UCO Bank Junction,12.935621750629496,77.61497794019785,1112,72.72731382607756,14.852239208633092,37.38,48.29532867562871,High,48.93630632736424,0.00036924036358388024,0.017951129434250857,0.0012315942978737818,1
"Outer Ring Road, Prestige Silver Crest, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.934370847548779,77.6899757784499,301,59.203850162908026,25.273156146179403,73.7,51.923871925307836,Critical,48.7777222407622,0.0003680437950197585,0.018319173229270614,0.0012276031659014166,1
"BTP022 - Marenahalli Junction, Vijayanagar",12.968779866920466,77.53673460275871,1157,73.1382397973239,11.82124459809853,42.36,48.587493278091515,High,48.59946749786263,0.0003666988049496358,0.01868587203422025,0.0012231169767833526,1
"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",13.071059593398578,77.58788809953528,1743,77.38366728300556,10.742702237521517,22.07,46.32864431275924,High,48.52796278878559,0.0003661592786396412,0.01905203131285989,0.0012213173969094387,1
BTP074 - Leprosy Hospital Junction,12.975846885138832,77.56179568138215,1047,72.10343395349646,12.819264565425025,43.32,48.56149634637574,High,48.47563127232181,0.0003657644203101891,0.019417795733170082,0.0012200003543675533,1
"Bengaluru Bellary Road, Sadahalli Gate Junction, Navarathna Agrahara, Bengaluru, Karnataka. Pin-562157 (India)",13.191272457119206,77.64629708013246,604,66.40732553531177,21.366821192052978,44.32,48.47770912527177,High,48.43441646164001,0.0003654534411451621,0.019783249174315246,0.0012189630892032377,1
"Sahakar Nagar Road, Fortune Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",13.071082333883753,77.58792565508585,1514,75.9242523515924,11.013520475561428,27.86,46.83818231846463,High,48.399070959822325,0.0003651867478264038,0.02014843592214165,0.0012180735386474,1
BTP205 - Modi Hospital Junction,12.997488303320912,77.54695407575124,1045,72.08362941112559,12.91178947368421,42.26,48.36735154766805,High,48.39112249190855,0.00036512677404818716,0.020513562696189837,0.0012178734972365514,1
BTP063 - Siddalingaiah Circle,12.971526511981132,77.5967034683019,1060,72.23124948614135,14.685094339622642,34.86,47.49315304495747,High,48.35297023624567,0.00036483890285786343,0.0208784015990477,0.0012169133082878577,1
"Pusa Thippasandra Main Road, Nada Prabhu Kempegowda Circle, New Thippasandra, Bengaluru, Karnataka. Pin-560075 (India)",12.971672204905241,77.65809940501673,897,70.50195170713035,15.345897435897436,41.06,48.06674508433441,High,48.25313754148579,0.00036408563267306237,0.021242487231720765,0.0012144007897339415,1
"BTP148 - 17th Main, Doopanahalli Bus Stop",12.963663511161307,77.64223399413451,745,68.57932377240064,18.076214765100673,41.98,48.10852631573052,High,48.243303242605585,0.00036401142968622824,0.021606498661406993,0.001214153287064994,1
BTP010 - Rajajinagar Entrance,12.982261563097772,77.56008112329171,957,71.17250916639786,13.602037617554858,43.24,48.31486586846539,High,48.22959320766302,0.0003639079830089683,0.021970406644415963,0.0012138082426158695,1
BTP069 - MC Circle,12.974620575358045,77.54751794417268,1075,72.37679714714025,11.925032558139534,39.81,47.72790834101199,High,47.96199982627598,0.000361888903825202,0.022332295548241166,0.0012070736419196016,1
"Whitefield Road, Phoenix Marketcity, Dyavasandra Industrial Estate Phase 2, Mahadevapura, Bengaluru, Karnataka. Pin-560048 (India)",12.995307435715556,77.69644199053106,469,63.78953157817311,20.51496801705757,56.56,49.36125619420383,High,47.920481173965364,0.00036157563207616294,0.022693871180317328,0.0012060287298843717,1
"Outer Ring Road, Sharadamma Layout, Munnekolala, Bengaluru, Karnataka. Pin-560037 (India)",12.951130643071336,77.69990322815585,250,57.286099077217756,24.737920000000003,77.18,51.50042553860888,Critical,47.883626492469766,0.00036129755150538656,0.023055168731822714,0.0012051011973632966,1
"Outer Ring Road, Vajram Onyx, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",12.932279686498866,77.68815583823351,558,65.58746033830053,19.44747311827957,48.52,48.33197210463414,High,47.73171877746314,0.0003601513583385991,0.023415320090161312,0.0012012780915826183,1
BTP137 - Madiwala Traffic PS Junction,12.92332618796038,77.6198709011831,596,66.26931784323702,17.500889261744966,50.67,48.518925700142,High,47.6404360553911,0.0003594626004813687,0.02377478269064268,0.0011989807526856802,1
"BTP095 - Satellite Bus Stand, Mysore Road",12.953825250666533,77.54339804607628,775,68.98808925626841,13.740077419354838,46.95,48.00606785394066,High,47.44747618772181,0.0003580066554572657,0.024132789346099946,0.0011941244754025073,1
"Sri Venkataranga Ayangar Road, Ranganathapura, Malleshwaram, Bengaluru, Karnataka. Pin-560003 (India)",13.006605825840854,77.57118724987694,1219,73.67898121535343,12.84202625102543,24.06,45.50409848298434,High,47.42414885630329,0.00035783064314696186,0.02449061998924691,0.0011935373896472508,1
BTP054 - Shivananda Circle,12.986267004491276,77.57886273319414,751,68.66237635094097,14.403888149134486,44.46,47.54435462021083,High,47.2516678452146,0.00035652921776312385,0.024847149207010033,0.0011891965097220825,1
"Outer Ring Road, Rajiv Nagar, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.935934119822203,77.6919368035807,430,62.8914358498543,17.76579069767442,62.52,49.27945513422948,High,47.060316461605915,0.00035508540927493723,0.02520223461628497,0.001184380713626517,1
"Mahatma Gandhi Road, WEBBS Circle Junction, Ashok Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.973690475067023,77.61431770589813,373,61.42075741265784,15.622680965147454,75.53,50.50318299587316,Critical,46.80235491476342,0.0003531390054186756,0.025555373621703646,0.0011778885201201947,1
"MBT Road, Kotturu, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",13.00063298668169,77.67690181749134,365,61.19658273785799,22.999616438356167,50.81,47.66017630043584,High,46.78898625924655,0.00035303813456032644,0.025908411756263974,0.0011775520672666698,1
"MBT Road, SM Layout, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",13.0056690236375,77.68590859297191,800,69.31683191395365,15.025025000000001,33.91,45.947923456976824,High,46.77401630267451,0.00035292518136417555,0.02626133693762815,0.0011771753140023304,1
