enforcement_zone,latitude,longitude,violation_count,frequency_score,avg_congestion_score,max_congestion_score,priority_score,risk_level
"1, 12th Main Road, Sector 6, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",12.9155549,77.6368993,1,7.186324541728964,10.59,10.59,8.888162270864482,Low
"1, 14th Main Road, Sector 7, HSR Layout, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560102, India",12.912079999999998,77.638002,6,20.17456357372616,8.12,8.12,14.147281786863081,Low
"1, 7th C Cross Road, Maistripalaya, Kormangala East, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560034, India",12.9326237,77.623365,1,7.186324541728964,11.65,11.65,9.418162270864482,Low
"1/1, East Park Road, Sadashivanagar, Sadashiva Nagara, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560001, India",13.00841145,77.57069014999999,2,11.390054916652556,13.77,14.12,12.650027458326276,Low
"100 Feet Road, 3rd Block, Sir MV Layout, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560056, India",12.9515169,77.4774966,1,7.186324541728964,31.42,31.42,19.303162270864483,Low
"100 Feet Road, 4th Block, Sir MV Layout, Bengaluru West City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560110, India",12.9515218,77.4773146,1,7.186324541728964,8.12,8.12,7.653162270864481,Low
"100 Feet Road, Another Sky by Living Walls, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",13.0190763,77.6557568,1,7.186324541728964,8.12,8.12,7.653162270864481,Low
"100 Feet Road, BM Sri Circle, Indiranagar, Bengaluru, Karnataka. Pin-560038 (India)",12.977762437337429,77.64082173656305,11,25.762704000110485,10.408181818181818,19.78,19.95980654550979,Low
"100 Feet Road, DSR Sunshine, T Krishna Reddy Layout, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",13.0182702,77.6540618,1,7.186324541728964,10.59,10.59,8.888162270864482,Low
"100 Feet Road, FTI Quarters, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",13.0221908,77.5322187,2,11.390054916652556,10.59,10.59,10.990027458326278,Low
"100 Feet Road, Gopal Reddy Layout, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",13.018146450000001,77.65398218333333,6,20.17456357372616,12.365,14.13,16.62278178686308,Low
"100 Feet Road, HAL 2nd Stage, Kodihalli, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560008, India",12.9701567,77.6412108,1,7.186324541728964,14.12,14.12,10.653162270864481,Low
"100 Feet Road, HRBR Layout 1st Block, Banaswadi, Bengaluru North City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560043, India",13.0181635,77.6540082,1,7.186324541728964,10.59,10.59,8.888162270864482,Low
"100 Feet Road, Indiranagar, Bengaluru Central City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560008, India",12.970415,77.6412514,1,7.186324541728964,49.42,49.42,28.303162270864483,Medium
"100 Feet Road, J Muniswamy Reddy Layout, Banaswadi, Bengaluru, Karnataka. Pin-560043 (India)",13.014871,77.6496273,1,7.186324541728964,27.54,27.54,17.363162270864482,Low
