enforcement_zone,hour,violation_count,avg_congestion_score,hourly_frequency_score,hourly_risk_score,recommended_time_window
BTP051 - Safina Plaza Junction,5,2972,26.03980148048452,100.0,77.81194044414535,05:00 - 06:00
BTP082 - KR Market Junction,19,1788,26.78717561521253,93.64894356913418,73.59041318295768,19:00 - 20:00
BTP044 - Sagar Theatre Junction,3,1677,21.311818723911745,92.84799847961544,71.38714455290433,03:00 - 04:00
BTP040 - Elite Junction,3,1717,20.436132789749564,93.14257460534414,71.33064206066575,03:00 - 04:00
BTP058 - Subbanna Junction,19,1390,23.515755395683453,90.50246853873219,70.40645459581756,19:00 - 20:00
"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",19,679,22.357496318114876,81.55341081490404,63.794636465867285,19:00 - 20:00
BTP211 - Central Street Junction,5,712,17.925182584269663,82.14596659376589,62.879731390917016,05:00 - 06:00
"New Horizon College Road, New Horizon College of Engineering, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",23,654,18.83518348623853,81.0850347767111,62.41007938956932,23:00 - 00:00
"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",19,459,28.84409586056645,76.66594882494275,62.31939293562985,19:00 - 20:00
"BTP080 - NR Road, SP Road Junction",4,635,14.870629921259843,80.7169533796813,60.96305634215486,04:00 - 05:00
BTP020 - Hosahalli Metro Station,23,603,13.265688225538971,80.07143311337369,60.02970964702327,23:00 - 00:00
BTP027 - Modi Bridge Junction,1,602,13.169534883720932,80.05071367493754,59.98636003757255,01:00 - 02:00
"BTP083 - AS Char Street, Mysore Road",19,421,21.968907363420428,75.58782387950247,59.502148924677854,19:00 - 20:00
BTP032 - Windsor Circle,22,579,11.653920552677029,79.56443752232506,59.19128243143065,22:00 - 23:00
BTP057 - Anand Rao Junction,3,491,15.936272912423625,77.50688265818022,59.03569973445324,03:00 - 04:00
"BTP070 - Cholurpalya Junction, Magadi Road",6,481,12.726569646569645,77.25011432925993,57.893050924452844,06:00 - 07:00
"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",22,396,18.378737373737373,74.82420580185678,57.89056527342095,22:00 - 23:00
"80 Feet Ring Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",4,454,13.595660792951543,76.52928977906305,57.64920108322959,04:00 - 05:00
"Sahakar Nagar Road, Fortuna Acacia, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",6,484,10.491611570247935,77.32769996536322,57.27687344682863,06:00 - 07:00
BTP042 - Minsk Square Junction (CTO),23,453,11.219227373068433,76.50177782465254,56.917012689177305,23:00 - 00:00
"BTP016 - 5th Main Road, RPC Layout",21,422,12.851255924170617,75.61741958144952,56.78757048426585,21:00 - 22:00
BTP023 - Mahalaxmi Layout Entrance,5,431,11.4307656612529,75.88067516251805,56.5457023121385,05:00 - 06:00
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",21,387,13.301266149870802,74.53747322769244,56.16661110434595,21:00 - 22:00
